name,weather,Date,neighbour,ExportGWh,ImportGWh
Stresový,WS13,2018-01-12,SK,0,27.803
Stresový,WS13,2018-01-12,AT,1.247,15.296
Stresový,WS13,2018-01-12,DE,19.189,0.405
Stresový,WS13,2018-01-13,PL,13.023,0.579
Stresový,WS13,2018-01-13,SK,0,32.308
Stresový,WS13,2018-01-13,AT,0,17.229
Stresový,WS13,2018-01-13,DE,36,0
Stresový,WS13,2018-01-14,PL,0,17.759
Stresový,WS13,2018-01-14,SK,0,11.338
Stresový,WS13,2018-01-14,AT,1.474,8.454
Stresový,WS13,2018-01-14,DE,21.52,0
Stresový,WS13,2018-01-15,PL,0,23.215
Stresový,WS13,2018-01-15,SK,6.208,0.313
Stresový,WS13,2018-01-15,AT,0.336,8.023
Stresový,WS13,2018-01-15,DE,0,21.195
Stresový,WS13,2018-01-16,PL,1.292,14.108
Stresový,WS13,2018-01-16,SK,0.395,2.081
Stresový,WS13,2018-01-16,AT,1.314,10.631
Stresový,WS13,2018-01-16,DE,0,22.042
Stresový,WS13,2018-01-17,PL,0,18.631
Stresový,WS13,2018-01-17,SK,0.787,0
Stresový,WS13,2018-01-17,AT,0.663,11.58
Stresový,WS13,2018-01-17,DE,0,21.879
Stresový,WS13,2018-01-18,PL,2.1,13.828
Stresový,WS13,2018-01-18,SK,2.362,2.051
Stresový,WS13,2018-01-18,AT,0,14.096
Stresový,WS13,2018-01-18,DE,0,20.849
Stresový,WS13,2018-01-19,PL,0,22.971
Stresový,WS13,2018-01-19,SK,2.682,1.138
Stresový,WS13,2018-01-19,AT,0,12.024
Stresový,WS13,2018-01-19,DE,0,29.409
Stresový,WS13,2018-01-20,PL,0,18.629
Stresový,WS13,2018-01-20,SK,7.44,0
Stresový,WS13,2018-01-20,AT,0.048,11.793
Stresový,WS13,2018-01-20,DE,0,28.422
Stresový,WS13,2018-01-21,PL,0,23.215
Stresový,WS13,2018-01-21,SK,3.851,1.259
Stresový,WS13,2018-01-21,AT,0,11.608
Stresový,WS13,2018-01-21,DE,0,31.715
