data_version,YEAR,MARKET_NODE,Category,Value
ERAA 2025 final,2033,BG00,FCR,45
ERAA 2025 final,2033,BG00,FRR,905
ERAA 2025 final,2033,CH00,FCR,67
ERAA 2025 final,2033,CH00,FRR,886
ERAA 2025 final,2033,CY00,FCR,30
ERAA 2025 final,2033,CY00,FRR,30
ERAA 2025 final,2033,CZ00,FCR,22
ERAA 2025 final,2033,CZ00,FRR,962
ERAA 2025 final,2033,DE00,FCR,564
ERAA 2025 final,2033,DE00,FRR,2550
ERAA 2025 final,2033,DKE1,FCR,75
ERAA 2025 final,2033,DKE1,FRR,550
ERAA 2025 final,2033,DKW1,FCR,50
ERAA 2025 final,2033,DKW1,FRR,550
ERAA 2025 final,2033,EE00,FCR,12
ERAA 2025 final,2033,EE00,FRR,352
ERAA 2025 final,2033,ES00,FCR,407.499
ERAA 2025 final,2033,ES00,FRR,6999.997
ERAA 2025 final,2033,FI00,FCR,325
ERAA 2025 final,2033,FI00,FRR,1658.999
ERAA 2025 final,2033,FR00,FRR,2100
ERAA 2025 final,2033,GR00,FCR,40
ERAA 2025 final,2033,GR00,FRR,1750
ERAA 2025 final,2033,HU00,FCR,10
ERAA 2025 final,2033,HU00,FRR,1121
ERAA 2025 final,2033,IE00,FRR,1050
ERAA 2025 final,2033,ITCA,FCR,43
ERAA 2025 final,2033,ITCA,FRR,540
ERAA 2025 final,2033,ITCN,FCR,53
ERAA 2025 final,2033,ITCN,FRR,720
ERAA 2025 final,2033,ITCS,FCR,80
ERAA 2025 final,2033,ITCS,FRR,540
ERAA 2025 final,2033,ITN1,FCR,276
ERAA 2025 final,2033,ITN1,FRR,1439
ERAA 2025 final,2033,ITS1,FCR,43
ERAA 2025 final,2033,ITS1,FRR,540
ERAA 2025 final,2033,ITSA,FCR,16
ERAA 2025 final,2033,ITSA,FRR,300
ERAA 2025 final,2033,ITSI,FCR,32
ERAA 2025 final,2033,ITSI,FRR,999
ERAA 2025 final,2033,LT00,FCR,23
ERAA 2025 final,2033,LT00,FRR,594
ERAA 2025 final,2033,MK00,FCR,8
ERAA 2025 final,2033,MK00,FRR,180
ERAA 2025 final,2033,NL00,FCR,116
ERAA 2025 final,2033,NL00,FRR,2000
ERAA 2025 final,2033,NOM1,FCR,300
ERAA 2025 final,2033,NOM1,FRR,600
ERAA 2025 final,2033,NON1,FCR,300
ERAA 2025 final,2033,NON1,FRR,600
ERAA 2025 final,2033,NOS1,FCR,300
ERAA 2025 final,2033,NOS1,FRR,600
ERAA 2025 final,2033,NOS2,FCR,300
ERAA 2025 final,2033,NOS2,FRR,600
ERAA 2025 final,2033,NOS3,FCR,300
ERAA 2025 final,2033,NOS3,FRR,600
ERAA 2025 final,2033,PL00,FCR,200
ERAA 2025 final,2033,PL00,FRR,1000
ERAA 2025 final,2033,PT00,FCR,53
ERAA 2025 final,2033,PT00,FRR,1750
ERAA 2025 final,2033,RO00,FCR,60
ERAA 2025 final,2033,RO00,FRR,1850
ERAA 2025 final,2033,RS00,FCR,34
ERAA 2025 final,2033,RS00,FRR,1614.311
ERAA 2025 final,2033,SE01,FCR,322
ERAA 2025 final,2033,SE01,FRR,147
ERAA 2025 final,2033,SE02,FCR,403
ERAA 2025 final,2033,SE02,FRR,174
ERAA 2025 final,2033,SE03,FCR,64
ERAA 2025 final,2033,SE03,FRR,324
ERAA 2025 final,2033,SE04,FRR,356
ERAA 2025 final,2033,SI00,FCR,38
ERAA 2025 final,2033,SI00,FRR,150
ERAA 2025 final,2033,SK00,FCR,15
ERAA 2025 final,2033,SK00,FRR,773
ERAA 2025 final,2033,UKNI,FRR,175
ERAA 2025 pre-CfE,2033,AL00,FCR,8
ERAA 2025 pre-CfE,2033,AL00,FRR,152
ERAA 2025 pre-CfE,2033,AT00,FCR,64.998
ERAA 2025 pre-CfE,2033,AT00,FRR,479.998
ERAA 2025 pre-CfE,2033,CY00,FCR,30
ERAA 2025 pre-CfE,2033,CY00,FRR,10
ERAA 2025 pre-CfE,2033,CZ00,FCR,22
ERAA 2025 pre-CfE,2033,CZ00,FRR,962
ERAA 2025 pre-CfE,2033,DE00,FCR,564
ERAA 2025 pre-CfE,2033,DE00,FRR,2550
ERAA 2025 pre-CfE,2033,DKE1,FCR,75
ERAA 2025 pre-CfE,2033,DKE1,FRR,550
ERAA 2025 pre-CfE,2033,DKW1,FCR,50
ERAA 2025 pre-CfE,2033,DKW1,FRR,550
ERAA 2025 pre-CfE,2033,EE00,FCR,12
ERAA 2025 pre-CfE,2033,EE00,FRR,352
ERAA 2025 pre-CfE,2033,ES00,FCR,407.499
ERAA 2025 pre-CfE,2033,ES00,FRR,6999.999
ERAA 2025 pre-CfE,2033,FI00,FCR,325
ERAA 2025 pre-CfE,2033,FI00,FRR,1658.999
ERAA 2025 pre-CfE,2033,FR00,FRR,2100
