MARKET_NODE,OP_STAT,MAX LOAD CAP (MW),STORAGE CAPACITY (MWh),TARGET_YEAR,Country,data_version
DE00,Available on market,15021.71,30077.475,2028,DE,ERAA 2025 pre-CfE
DE00,Out of market - for PV/battery dispatch optimization,22009.3,45119.065,2028,DE,ERAA 2025 pre-CfE
DKE1,Available on market,225.43,450.84,2028,DK,ERAA 2025 pre-CfE
DKW1,Available on market,211.79,423.58,2028,DK,ERAA 2025 pre-CfE
EE00,Available on market,200,400,2028,EE,ERAA 2025 pre-CfE
ES00,Available on market,3286.3,7640.6,2028,ES,ERAA 2025 pre-CfE
FI00,Available on market,1911.1,3344.425,2028,FI,ERAA 2025 pre-CfE
FR00,Available on market,470,940,2028,FR,ERAA 2025 pre-CfE
GR00,Available on market,1800,4500,2028,GR,ERAA 2025 pre-CfE
HR00,Available on market,66,66,2028,HR,ERAA 2025 pre-CfE
HU00,Available on market,504.7519667,1009.503933,2028,HU,ERAA 2025 pre-CfE
HU00,Out of market - for PV/battery dispatch optimization,79.01333333,221.2373333,2028,HU,ERAA 2025 pre-CfE
IE00,Available on market,539,1610,2028,IE,ERAA 2025 pre-CfE
ITCA,Available on market,152.8,334.7,2028,IT,ERAA 2025 pre-CfE
ITCN,Available on market,540.6,1208.3,2028,IT,ERAA 2025 pre-CfE
ITCS,Available on market,1131.7,2617.31,2028,IT,ERAA 2025 pre-CfE
ITN1,Available on market,4133.25,10348.96468,2028,IT,ERAA 2025 pre-CfE
ITS1,Available on market,372.8,816.6,2028,IT,ERAA 2025 pre-CfE
ITSA,Available on market,1038.93,3611.2653,2028,IT,ERAA 2025 pre-CfE
ITSI,Available on market,362.2,753.7,2028,IT,ERAA 2025 pre-CfE
LT00,Available on market,1120,3427.7,2028,LT,ERAA 2025 pre-CfE
LT00,Out of market - primary purpose other operational activities,200,200,2028,LT,ERAA 2025 pre-CfE
LUG1,Out of market - for PV/battery dispatch optimization,10,10,2028,LU,ERAA 2025 pre-CfE
LV00,Available on market,170,340,2028,LV,ERAA 2025 pre-CfE
MT00,Available on market,40,84,2028,MT,ERAA 2025 pre-CfE
NL00,Available on market,6434.4,12928.8,2028,NL,ERAA 2025 pre-CfE
PL00,Available on market,2113,9008,2028,PL,ERAA 2025 pre-CfE
PT00,Available on market,300,1200,2028,PT,ERAA 2025 pre-CfE
RO00,Available on market,900,1800,2028,RO,ERAA 2025 pre-CfE
RS00,Available on market,622.49,1978.56,2028,RS,ERAA 2025 pre-CfE
SE01,Available on market,50,2,2028,SE,ERAA 2025 pre-CfE
SE02,Available on market,50,82,2028,SE,ERAA 2025 pre-CfE
SE03,Available on market,50,582,2028,SE,ERAA 2025 pre-CfE
SE04,Available on market,50,560,2028,SE,ERAA 2025 pre-CfE
SI00,Available on market,203.5833333,366.45,2028,SI,ERAA 2025 pre-CfE
SK00,Available on market,230,460,2028,SK,ERAA 2025 pre-CfE
UK00,Available on market,22039.01,38670.86,2028,UK,ERAA 2025 pre-CfE
UKNI,Available on market,100,140,2028,UK,ERAA 2025 pre-CfE
AT00,Available on market,1300,2600,2030,AT,ERAA 2025 pre-CfE
AT00,Out of market - for PV/battery dispatch optimization,3699.99,7399.98,2030,AT,ERAA 2025 pre-CfE
BE00,Available on market,2242.691176,7185.382353,2030,BE,ERAA 2025 pre-CfE
BG00,Available on market,1228.4,2680,2030,BG,ERAA 2025 pre-CfE
CH00,Out of market - for PV/battery dispatch optimization,2297,1150,2030,CH,ERAA 2025 pre-CfE
CY00,Available on market,160,400,2030,CY,ERAA 2025 pre-CfE
CZ00,Available on market,1722.6,3445.2,2030,CZ,ERAA 2025 pre-CfE
DE00,Available on market,20953.54,42310.325,2030,DE,ERAA 2025 pre-CfE
DE00,Out of market - for PV/battery dispatch optimization,27181.7,58440.655,2030,DE,ERAA 2025 pre-CfE
DKE1,Available on market,257.87,515.74,2030,DK,ERAA 2025 pre-CfE
DKW1,Available on market,569.43,16498.86,2030,DK,ERAA 2025 pre-CfE
EE00,Available on market,1000,2000,2030,EE,ERAA 2025 pre-CfE
ES00,Available on market,7675.3,20026.6,2030,ES,ERAA 2025 pre-CfE
FI00,Available on market,3111.1,6222.2,2030,FI,ERAA 2025 pre-CfE
FR00,Available on market,470,940,2030,FR,ERAA 2025 pre-CfE
GR00,Available on market,2977.5,7561.5,2030,GR,ERAA 2025 pre-CfE
GR03,Available on market,50,130,2030,GR,ERAA 2025 pre-CfE
HR00,Available on market,66,66,2030,HR,ERAA 2025 pre-CfE
HU00,Available on market,538.4515667,1076.903133,2030,HU,ERAA 2025 pre-CfE
HU00,Out of market - for PV/battery dispatch optimization,118.9633333,333.0973333,2030,HU,ERAA 2025 pre-CfE
IE00,Available on market,539,1610,2030,IE,ERAA 2025 pre-CfE
ITCA,Available on market,564.2,3565.3,2030,IT,ERAA 2025 pre-CfE
ITCN,Available on market,603.4,1376.9,2030,IT,ERAA 2025 pre-CfE
ITCS,Available on market,1950.3,8801.11,2030,IT,ERAA 2025 pre-CfE
ITN1,Available on market,4504.85,11344.76468,2030,IT,ERAA 2025 pre-CfE
ITS1,Available on market,2484.2,17647.2,2030,IT,ERAA 2025 pre-CfE
ITSA,Available on market,2356.13,14057.2653,2030,IT,ERAA 2025 pre-CfE
ITSI,Available on market,2090.8,14430.3,2030,IT,ERAA 2025 pre-CfE
LT00,Available on market,1360,4205.7,2030,LT,ERAA 2025 pre-CfE
LT00,Out of market - primary purpose other operational activities,200,200,2030,LT,ERAA 2025 pre-CfE
LUG1,Out of market - for PV/battery dispatch optimization,25,25,2030,LU,ERAA 2025 pre-CfE
LV00,Available on market,220,440,2030,LV,ERAA 2025 pre-CfE
MK00,Available on market,80,320,2030,MK,ERAA 2025 pre-CfE
MT00,Available on market,40,84,2030,MT,ERAA 2025 pre-CfE
NL00,Available on market,9130,52717,2030,NL,ERAA 2025 pre-CfE
PL00,Available on market,6110,26992,2030,PL,ERAA 2025 pre-CfE
PT00,Available on market,2000,8000,2030,PT,ERAA 2025 pre-CfE
RO00,Available on market,1200,2400,2030,RO,ERAA 2025 pre-CfE
RS00,Available on market,622.49,1978.56,2030,RS,ERAA 2025 pre-CfE
SE01,Available on market,50,3.73,2030,SE,ERAA 2025 pre-CfE
SE02,Available on market,50,94.72,2030,SE,ERAA 2025 pre-CfE
SE03,Available on market,50,692.39,2030,SE,ERAA 2025 pre-CfE
